Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
CRM,Sell,178.96,184.5237517741468,194.44,168.5
IT,Sell,154.14,160.39999389648438,172.09,145.34
HUBS,Sell,208.19,217.49000549316406,242.76,181.03
PATH,Sell,10.55,10.960000038146973,11.92,9.7
GWRE,Sell,140.01,141.4600067138672,152.83,126.25
MTZ,Buy,385.0,378.57,351.35,425.79
RBC,Buy,565.22,548.19,525.17,585.43
RHI,Sell,25.12,26.012808813688952,27.7,23.98
TNET,Sell,42.41,43.20533417379429,46.77,39.38
BRZE,Sell,21.76,22.100000381469727,24.18,19.73
BOX,Sell,25.7,26.200000762939453,27.5,23.91
BL,Sell,30.03,30.4950008392334,32.69,26.08
ZETA,Sell,18.3,19.6299991607666,20.82,17.35
GSHD,Sell,41.31,42.58000183105469,47.59,37.45
